15:12:46.043	127.0.0.1:58391	admin	OK	CLOSE[11]	0.08 ms	
15:12:46.043	127.0.0.1:58391	admin	OK	QUERY[12] doc("pistes/pistes.xml")/pistes/pista[@id="PS-007"]	0.08 ms	
15:12:46.067	127.0.0.1:58391	admin	OK	FULL[12]	23.98 ms	
15:12:46.069	127.0.0.1:58391	admin	OK	CLOSE[12]	0.12 ms	
15:12:46.069	127.0.0.1:58391	admin	OK	QUERY[13] insert node <pista id="PS-007"><nom>Eagle's Nest</nom><color>Vermella</color><oberta>false</oberta><longitud>3800</longitud><desnivell>650</desnivell><pendentMax>35</pendentMax><gruix>75</gruix><qualitat>Dura</qualitat><remuntadors><remuntador>Telesquí Sud</remuntador></remuntadors></pista> into doc("pistes/pistes.xml")/pistes	0.14 ms	
15:12:46.074	127.0.0.1:58391	admin	OK	FULL[13]	4.77 ms	
15:12:46.075	127.0.0.1:58391	admin	OK	CLOSE[13]	0.09 ms	
15:12:46.075	127.0.0.1:58391	admin	OK	QUERY[14] doc("pistes/pistes.xml")/pistes/pista[@id="PS-008"]	0.08 ms	
15:12:46.099	127.0.0.1:58391	admin	OK	FULL[14]	23.74 ms	
15:12:46.100	127.0.0.1:58391	admin	OK	CLOSE[14]	0.07 ms	
15:12:46.100	127.0.0.1:58391	admin	OK	QUERY[15] insert node <pista id="PS-008"><nom>Devil's Drop</nom><color>Negra</color><oberta>true</oberta><longitud>5000</longitud><desnivell>900</desnivell><pendentMax>45</pendentMax><gruix>110</gruix><qualitat>Glacial</qualitat><remuntadors><remuntador>Telesquí Sud</remuntador><remuntador>Telefèric Cim</remuntador></remuntadors></pista> into doc("pistes/pistes.xml")/pistes	0.12 ms	
15:12:46.104	127.0.0.1:58391	admin	OK	FULL[15]	4.58 ms	
15:12:46.105	127.0.0.1:58391	admin	OK	CLOSE[15]	0.07 ms	
15:12:46.105	127.0.0.1:58391	admin	OK	QUERY[16] doc("pistes/pistes.xml")/pistes/pista[@id="PS-009"]	0.08 ms	
15:12:46.130	127.0.0.1:58391	admin	OK	FULL[16]	23.66 ms	
15:12:46.131	127.0.0.1:58391	admin	OK	CLOSE[16]	0.08 ms	
15:12:46.131	127.0.0.1:58391	admin	OK	QUERY[17] insert node <pista id="PS-009"><nom>Whispering Pines</nom><color>Verda</color><oberta>false</oberta><longitud>1600</longitud><desnivell>220</desnivell><pendentMax>11</pendentMax><gruix>32</gruix><qualitat>Polsosa</qualitat><remuntadors><remuntador>Telesquí Sud</remuntador></remuntadors></pista> into doc("pistes/pistes.xml")/pistes	0.11 ms	
15:12:46.136	127.0.0.1:58391	admin	OK	FULL[17]	4.55 ms	
15:12:46.136	127.0.0.1:58391	admin	OK	CLOSE[17]	0.06 ms	
15:12:46.136	127.0.0.1:58391	admin	OK	QUERY[18] doc("pistes/pistes.xml")/pistes/pista[@id="PS-010"]	0.1 ms	
15:12:46.159	127.0.0.1:58391	admin	OK	FULL[18]	22.63 ms	
15:12:46.160	127.0.0.1:58391	admin	OK	CLOSE[18]	0.09 ms	
15:12:46.160	127.0.0.1:58391	admin	OK	QUERY[19] insert node <pista id="PS-010"><nom>Silver Stream</nom><color>Blava</color><oberta>true</oberta><longitud>2700</longitud><desnivell>420</desnivell><pendentMax>22</pendentMax><gruix>55</gruix><qualitat>Humida</qualitat><remuntadors><remuntador>Telefèric Cim</remuntador></remuntadors></pista> into doc("pistes/pistes.xml")/pistes	0.13 ms	
15:12:46.165	127.0.0.1:58391	admin	OK	FULL[19]	4.82 ms	
15:12:46.166	127.0.0.1:58391	admin	OK	CLOSE[19]	0.08 ms	
15:12:46.166	127.0.0.1:58391	admin	OK	QUERY[20] doc("pistes/pistes.xml")/pistes/pista[@id="PS-011"]	0.09 ms	
15:12:46.191	127.0.0.1:58391	admin	OK	FULL[20]	25.43 ms	
15:12:46.192	127.0.0.1:58391	admin	OK	CLOSE[20]	0.1 ms	
15:12:46.193	127.0.0.1:58391	admin	OK	QUERY[21] insert node <pista id="PS-011"><nom>Thunder Ridge</nom><color>Vermella</color><oberta>true</oberta><longitud>4000</longitud><desnivell>700</desnivell><pendentMax>38</pendentMax><gruix>80</gruix><qualitat>Dura</qualitat><remuntadors><remuntador>Telefèric Cim</remuntador><remuntador>Telecadira Central</remuntador></remuntadors></pista> into doc("pistes/pistes.xml")/pistes	0.12 ms	
15:12:46.198	127.0.0.1:58391	admin	OK	FULL[21]	5.04 ms	
15:12:46.199	127.0.0.1:58391	admin	OK	CLOSE[21]	0.08 ms	
15:12:46.199	127.0.0.1:58391	admin	OK	QUERY[22] doc("pistes/pistes.xml")/pistes/pista[@id="PS-012"]	0.08 ms	
15:12:46.225	127.0.0.1:58391	admin	OK	FULL[22]	25.46 ms	
15:12:46.226	127.0.0.1:58391	admin	OK	CLOSE[22]	0.09 ms	
15:12:46.226	127.0.0.1:58391	admin	OK	QUERY[23] insert node <pista id="PS-012"><nom>Avalanche Alley</nom><color>Negra</color><oberta>false</oberta><longitud>4800</longitud><desnivell>850</desnivell><pendentMax>42</pendentMax><gruix>105</gruix><qualitat>Glacial</qualitat><remuntadors><remuntador>Telefèric Cim</remuntador></remuntadors></pista> into doc("pistes/pistes.xml")/pistes	0.11 ms	
15:12:46.233	127.0.0.1:58391	admin	OK	FULL[23]	6.46 ms	
15:12:46.233	127.0.0.1:58391	admin	OK	CLOSE[23]	0.06 ms	
15:12:46.234	127.0.0.1:58391	admin	OK	QUERY[24] doc("pistes/pistes.xml")/pistes/pista[@id="PS-013"]	0.07 ms	
15:12:46.266	127.0.0.1:58391	admin	OK	FULL[24]	32.34 ms	
15:12:46.267	127.0.0.1:58391	admin	OK	CLOSE[24]	0.13 ms	
15:12:46.268	127.0.0.1:58391	admin	OK	QUERY[25] insert node <pista id="PS-013"><nom>Moonlight Trail</nom><color>Verda</color><oberta>true</oberta><longitud>1700</longitud><desnivell>240</desnivell><pendentMax>13</pendentMax><gruix>33</gruix><qualitat>Polsosa</qualitat><remuntadors><remuntador>Telecadira Central</remuntador></remuntadors></pista> into doc("pistes/pistes.xml")/pistes	0.15 ms	
15:12:46.274	127.0.0.1:58391	admin	OK	FULL[25]	5.61 ms	
15:12:46.274	127.0.0.1:58391	admin	OK	CLOSE[25]	0.08 ms	
15:12:46.275	127.0.0.1:58391	admin	OK	QUERY[26] doc("pistes/pistes.xml")/pistes/pista[@id="PS-014"]	0.11 ms	
15:12:46.303	127.0.0.1:58391	admin	OK	FULL[26]	28.51 ms	
15:12:46.305	127.0.0.1:58391	admin	OK	CLOSE[26]	0.09 ms	
15:12:46.305	127.0.0.1:58391	admin	OK	QUERY[27] insert node <pista id="PS-014"><nom>Frozen Falls</nom><color>Blava</color><oberta>false</oberta><longitud>2600</longitud><desnivell>380</desnivell><pendentMax>21</pendentMax><gruix>52</gruix><qualitat>Humida</qualitat><remuntadors><remuntador>Telecabina Nord</remuntador><remuntador>Telefèric Cim</remuntador></remuntadors></pista> into doc("pistes/pistes.xml")/pistes	0.09 ms	
15:12:46.310	127.0.0.1:58391	admin	OK	FULL[27]	4.93 ms	
